name,rank,address,thumbnail,n_ug,page_url,zip,type,year_founded,setting,endowment,completion_rate,annual_cost
Princeton University,1,"Princeton, NJ",https://www.usnews.com/best-colleges/princeton-university-2627/photos,5400,https://www.usnews.com/best-colleges/princeton-university-2627,08544,"Private, Coed",1746,Suburban,$21.7 billion +,0.9684,59665
Harvard University,2,"Cambridge, MA",https://www.usnews.com/best-colleges/harvard-university-2155/photos,6710,https://www.usnews.com/best-colleges/harvard-university-2155,02138,"Private, Coed",1636,Urban,$35.7 billion,0.9759,62250
University of Chicago,3,"Chicago, IL",https://www.usnews.com/best-colleges/university-of-chicago-1774/photos,5941,https://www.usnews.com/best-colleges/university-of-chicago-1774,60637,"Private, Coed",1890,Urban,$6.1 billion +,0.9168,67572
Yale University,3,"New Haven, CT",https://www.usnews.com/best-colleges/yale-university-1426/photos,5472,https://www.usnews.com/best-colleges/yale-university-1426,06520,"Private, Coed",1701,City,$25.4 billion +,0.9678,63970
Columbia University,5,"New York, NY",https://www.usnews.com/best-colleges/columbia-university-2707/photos,6113,https://www.usnews.com/best-colleges/columbia-university-2707,10027,"Private, Coed",1754,Urban,$9.0 billion +,0.9518,66604
Massachusetts Institute of Technology,5,"Cambridge, MA",https://www.usnews.com/best-colleges/mit-2178/photos,4524,https://www.usnews.com/best-colleges/mit-2178,02139,"Private, Coed",1861,Urban,$13.2 billion,0.9193,61030
Stanford University,5,"Stanford, CA",https://www.usnews.com/best-colleges/stanford-1305/photos,7034,https://www.usnews.com/best-colleges/stanford-1305,94305,"Private, Coed",1885,Suburban,$22.4 billion,0.9385,62363
University of Pennsylvania,8,"Philadelphia, PA",https://www.usnews.com/best-colleges/university-of-pennsylvania-3378/photos,10019,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,19104,"Private, Coed",1740,Urban,$10.7 billion +,0.9534,64200
Duke University,9,"Durham, NC",https://www.usnews.com/best-colleges/duke-university-2920/photos,6609,https://www.usnews.com/best-colleges/duke-university-2920,27708,"Private, Coed",1838,Suburban,$6.8 billion +,0.9495,63999
California Institute of Technology,10,"Pasadena, CA",https://www.usnews.com/best-colleges/cal-tech-1131/photos,979,https://www.usnews.com/best-colleges/cal-tech-1131,91125,"Private, Coed",1891,Suburban,$2.2 billion +,0.9084,60990
Dartmouth College,11,"Hanover, NH",https://www.usnews.com/best-colleges/dartmouth-college-2573/photos,4310,https://www.usnews.com/best-colleges/dartmouth-college-2573,03755,"Private, Coed",1769,Rural,$4.5 billion,0.9414,65133
Johns Hopkins University,11,"Baltimore, MD",https://www.usnews.com/best-colleges/jhu-2077/photos,6117,https://www.usnews.com/best-colleges/jhu-2077,21218,"Private, Coed",1876,Urban,$3.3 billion +,0.9369,63509
Northwestern University,11,"Evanston, IL",https://www.usnews.com/best-colleges/northwestern-1739/photos,8353,https://www.usnews.com/best-colleges/northwestern-1739,60208,"Private, Coed",1851,Suburban,$7.5 billion,0.9276,65436
Brown University,14,"Providence, RI",https://www.usnews.com/best-colleges/brown-university-3401/photos,6926,https://www.usnews.com/best-colleges/brown-university-3401,02912,"Private, Coed",1764,City,$3.0 billion,0.9597,62694
